iShares ESG Optimized MSCI USA ETF
Fund Holdings as of,"Sep 16, 2026"
Inception Date,"Jan 24, 2005"
Shares Outstanding,"25,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"IBM","INTERNATIONAL BUSINESS MACHINES","Information Technology","Equity","23,766,099.28","0.60","23,766,099.28","100,072.00","237.49","United States","NYSE","USD","1.00","USD","-"
"OKE","ONEOK","Energy","Equity","23,518,082.70","0.59","23,518,082.70","253,701.00","92.70","United States","NYSE","USD","1.00","USD","-"
"TRGP","TARGA RESOURCES","Energy","Equity","23,282,510.43","0.58","23,282,510.43","81,759.00","284.77","United States","NYSE","USD","1.00","USD","-"
"CRH","CRH PUBLIC LIMITED PLC","Materials","Equity","22,708,377.30","0.57","22,708,377.30","261,919.00","86.70","United States","NYSE","USD","1.00","USD","-"
"ADP","AUTOMATIC DATA PROCESSING INC","Industrials","Equity","22,465,233.27","0.56","22,465,233.27","82,233.00","273.19","United States","NASDAQ","USD","1.00","USD","-"
"NI","NISOURCE","Utilities","Equity","21,649,498.32","0.54","21,649,498.32","532,452.00","40.66","United States","NYSE","USD","1.00","USD","-"
"LOW","LOWES COMPANIES INC","Consumer Discretionary","Equity","21,243,468.60","0.53","21,243,468.60","109,446.00","194.10","United States","NYSE","USD","1.00","USD","-"
"MRK","MERCK & CO INC","Health Care","Equity","21,055,133.18","0.53","21,055,133.18","145,298.00","144.91","United States","NYSE","USD","1.00","USD","-"
"PGR","PROGRESSIVE","Financials","Equity","21,016,349.46","0.53","21,016,349.46","96,854.00","216.99","United States","NYSE","USD","1.00","USD","-"
"EW","EDWARDS LIFESCIENCES","Health Care","Equity","20,803,043.52","0.52","20,803,043.52","233,009.00","89.28","United States","NYSE","USD","1.00","USD","-"
"GWW","WW GRAINGER INC","Industrials","Equity","20,777,647.38","0.52","20,777,647.38","16,513.00","1,258.26","United States","NYSE","USD","1.00","USD","-"
"KMB","KIMBERLY CLARK","Consumer Staples","Equity","20,549,889.90","0.52","20,549,889.90","209,479.00","98.10","United States","NASDAQ","USD","1.00","USD","-"
"MMM","3M","Industrials","Equity","20,537,815.50","0.52","20,537,815.50","126,270.00","162.65","United States","NYSE","USD","1.00","USD","-"
"BKR","BAKER HUGHES CLASS A","Energy","Equity","20,483,527.68","0.51","20,483,527.68","363,699.00","56.32","United States","NASDAQ","USD","1.00","USD","-"
"ANET","ARISTA NETWORKS","Information Technology","Equity","20,149,672.62","0.51","20,149,672.62","102,003.00","197.54","United States","NYSE","USD","1.00","USD","-"
"CAT","CATERPILLAR INC","Industrials","Equity","19,717,499.52","0.49","19,717,499.52","25,191.00","782.72","United States","NYSE","USD","1.00","USD","-"
"ORCL","ORACLE","Information Technology","Equity","19,488,370.80","0.49","19,488,370.80","136,130.00","143.16","United States","NYSE","USD","1.00","USD","-"
"EXPD","EXPEDITORS INTERNATIONAL OF WASHIN","Industrials","Equity","18,726,491.44","0.47","18,726,491.44","99,061.00","189.04","United States","NYSE","USD","1.00","USD","-"
"NFLX","NETFLIX","Communication","Equity","18,684,690.12","0.47","18,684,690.12","244,532.00","76.41","United States","NASDAQ","USD","1.00","USD","-"
"GEV","GE VERNOVA","Industrials","Equity","18,506,425.45","0.46","18,506,425.45","20,005.00","925.09","United States","NYSE","USD","1.00","USD","-"
"ADSK","AUTODESK","Information Technology","Equity","18,250,260.09","0.46","18,250,260.09","82,839.00","220.31","United States","NASDAQ","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","18,147,845.40","0.46","18,147,845.40","69,620.00","260.67","United States","NASDAQ","USD","1.00","USD","-"
"DLR","DIGITAL REALTY TRUST REIT","Real Estate","Equity","18,072,777.77","0.45","18,072,777.77","99,811.00","181.07","United States","NYSE","USD","1.00","USD","-"
"IDXX","IDEXX LABORATORIES","Health Care","Equity","17,940,232.98","0.45","17,940,232.98","34,929.00","513.62","United States","NASDAQ","USD","1.00","USD","-"
"ELV","ELEVANCE HEALTH INC","Health Care","Equity","17,892,314.64","0.45","17,892,314.64","43,369.00","412.56","United States","NYSE","USD","1.00","USD","-"
"PNC","PNC FINANCIAL SERVICES GROUP","Financials","Equity","17,534,441.54","0.44","17,534,441.54","75,746.00","231.49","United States","NYSE","USD","1.00","USD","-"
"STT","STATE STREET","Financials","Equity","17,351,174.30","0.44","17,351,174.30","94,867.00","182.90","United States","NYSE","USD","1.00","USD","-"
"LIN","LINDE PLC","Materials","Equity","16,835,787.06","0.42","16,835,787.06","36,434.00","462.09","United States","NASDAQ","USD","1.00","USD","-"
"TRV","TRAVELERS COMPANIES","Financials","Equity","16,368,965.08","0.41","16,368,965.08","43,199.00","378.92","United States","NYSE","USD","1.00","USD","-"
"SYK","STRYKER","Health Care","Equity","16,206,545.88","0.41","16,206,545.88","56,913.00","284.76","United States","NYSE","USD","1.00","USD","-"
"BLK","BLACKROCK","Financials","Equity","16,121,821.32","0.40","16,121,821.32","15,543.00","1,037.24","United States","NYSE","USD","1.00","USD","-"
"WELL","WELLTOWER","Real Estate","Equity","16,024,792.00","0.40","16,024,792.00","68,336.00","234.50","United States","NYSE","USD","1.00","USD","-"
"KEYS","KEYSIGHT TECHNOLOGIES","Information Technology","Equity","15,921,013.52","0.40","15,921,013.52","49,438.00","322.04","United States","NYSE","USD","1.00","USD","-"
"HLT","HILTON WORLDWIDE HOLDINGS","Consumer Discretionary","Equity","15,895,205.04","0.40","15,895,205.04","52,008.00","305.63","United States","NYSE","USD","1.00","USD","-"
"MRVL","MARVELL TECHNOLOGY","Information Technology","Equity","15,891,797.22","0.40","15,891,797.22","69,182.00","229.71","United States","NASDAQ","USD","1.00","USD","-"
"ADBE","ADOBE INC","Information Technology","Equity","15,730,398.00","0.39","15,730,398.00","62,796.00","250.50","United States","NASDAQ","USD","1.00","USD","-"
"FTI","TECHNIPFMC PLC","Energy","Equity","15,730,232.52","0.39","15,730,232.52","216,134.00","72.78","United States","NYSE","USD","1.00","USD","-"
"NET","CLOUDFLARE CLASS A","Information Technology","Equity","15,626,378.45","0.39","15,626,378.45","48,133.00","324.65","United States","NYSE","USD","1.00","USD","-"
"EXC","EXELON CORP","Utilities","Equity","15,612,233.04","0.39","15,612,233.04","367,866.00","42.44","United States","NASDAQ","USD","1.00","USD","-"
"VRTX","VERTEX PHARMACEUTICALS","Health Care","Equity","15,439,374.06","0.39","15,439,374.06","30,081.00","513.26","United States","NASDAQ","USD","1.00","USD","-"
"MTD","METTLER TOLEDO","Health Care","Equity","15,275,885.20","0.38","15,275,885.20","11,080.00","1,378.69","United States","NYSE","USD","1.00","USD","-"
"AMT","AMERICAN TOWER REIT","Real Estate","Equity","15,146,962.08","0.38","15,146,962.08","85,872.00","176.39","United States","NYSE","USD","1.00","USD","-"
"WDC","WESTERN DIGITAL CORP","Information Technology","Equity","15,114,328.56","0.38","15,114,328.56","36,248.00","416.97","United States","NASDAQ","USD","1.00","USD","-"
"USB","US BANCORP","Financials","Equity","14,705,585.73","0.37","14,705,585.73","246,201.00","59.73","United States","NYSE","USD","1.00","USD","-"
"DGX","QUEST DIAGNOSTICS INC","Health Care","Equity","14,637,019.20","0.37","14,637,019.20","59,240.00","247.08","United States","NYSE","USD","1.00","USD","-"
"HWM","HOWMET AEROSPACE","Industrials","Equity","14,544,887.37","0.36","14,544,887.37","63,869.00","227.73","United States","NYSE","USD","1.00","USD","-"
"ADI","ANALOG DEVICES","Information Technology","Equity","14,526,492.96","0.36","14,526,492.96","40,124.00","362.04","United States","NASDAQ","USD","1.00","USD","-"
"XYL","XYLEM INC","Industrials","Equity","14,452,487.10","0.36","14,452,487.10","134,730.00","107.27","United States","NYSE","USD","1.00","USD","-"
"MCO","MOODYS CORP","Financials","Equity","14,420,112.30","0.36","14,420,112.30","30,991.00","465.30","United States","NYSE","USD","1.00","USD","-"
"GIS","GENERAL MILLS INC","Consumer Staples","Equity","14,204,537.28","0.36","14,204,537.28","385,888.00","36.81","United States","NYSE","USD","1.00","USD","-"
"NEM","NEWMONT","Materials","Equity","14,198,798.88","0.36","14,198,798.88","116,613.00","121.76","United States","NYSE","USD","1.00","USD","-"
